0	1	0.029824	0.00656224
1	0	0.037217	0.00656224
0	2	0.032793	0.00859927
2	0	0.035863	0.00859927
0	3	0.010491	0.00062957
3	0	0.031577	0.00062957
0	4	0.027325	0.00806899
4	0	0.039662	0.00806899
1	2	0.046992	0.00250649
2	1	0.020077	0.00250649
1	3	0.025626	0.00689891
3	1	0.033957	0.00689891
1	4	0.048611	0.00495565
4	1	0.020486	0.00495565
2	3	0.045777	0.00882309
3	2	0.020217	0.00882309
2	4	0.012473	0.00693097
4	2	0.043963	0.00693097
3	4	0.046636	0.00865551
4	3	0.038952	0.00865551
5	3	0.010723	0.00413340
3	5	0.026519	0.00413340
5	2	0.015300	0.00815969
2	5	0.011453	0.00815969
5	0	0.037318	0.00350383
0	5	0.037077	0.00350383
5	1	0.026149	0.00567631
1	5	0.039058	0.00567631
5	4	0.045286	0.00499434
4	5	0.028843	0.00499434
6	5	0.018688	0.00711854
5	6	0.023808	0.00711854
6	3	0.044821	0.00791962
3	6	0.030105	0.00791962
6	1	0.035827	0.00147583
1	6	0.015296	0.00147583
6	2	0.033715	0.00104116
2	6	0.013622	0.00104116
6	4	0.021862	0.00613525
4	6	0.049015	0.00613525
7	3	0.029492	0.00672439
3	7	0.043981	0.00672439
7	4	0.043917	0.00286021
4	7	0.045552	0.00286021
7	1	0.016633	0.00225491
1	7	0.024352	0.00225491
7	0	0.030754	0.00622912
0	7	0.035723	0.00622912
7	2	0.031736	0.00459966
2	7	0.049186	0.00459966
8	3	0.041415	0.00491180
3	8	0.033060	0.00491180
8	1	0.044118	0.00291572
1	8	0.013116	0.00291572
8	5	0.045436	0.00276092
5	8	0.032294	0.00276092
8	2	0.035416	0.00540650
2	8	0.036001	0.00540650
8	6	0.017822	0.00436580
6	8	0.029280	0.00436580
9	5	0.021486	0.00082708
5	9	0.038573	0.00082708
9	2	0.021857	0.00898359
2	9	0.025602	0.00898359
9	4	0.046825	0.00541984
4	9	0.013118	0.00541984
9	6	0.038753	0.00794244
6	9	0.037559	0.00794244
9	1	0.016954	0.00649613
1	9	0.015343	0.00649613
10	4	0.035817	0.00374528
4	10	0.023480	0.00374528
10	1	0.015962	0.00260442
1	10	0.018074	0.00260442
10	5	0.032752	0.00677211
5	10	0.042638	0.00677211
10	0	0.018205	0.00861934
0	10	0.024700	0.00861934
10	9	0.038464	0.00749915
9	10	0.018946	0.00749915
11	8	0.011965	0.00462179
8	11	0.048491	0.00462179
11	10	0.026606	0.00596562
