0.545140	0.126148
0.394053	0.764742
0.188970	0.908847
0.499355	0.082935
0.880353	0.860122
0.799328	0.367305
0.267155	0.840092
0.618652	0.744707
0.604336	0.562764
0.865976	0.318329
0.528302	0.987917
0.143160	0.532338
0.818676	0.291480
0.541144	0.776048
0.150314	0.357760
0.743399	0.225469
0.072631	0.413513
0.036210	0.131499
0.501590	0.296044
0.005221	0.059967
0.938531	0.389945
0.616933	0.114800
0.654978	0.252584
0.094385	0.833588
0.238486	0.198765
0.862906	0.819271
0.473435	0.340638
0.486054	0.848287
0.453217	0.061720
0.672870	0.424506
